areas,equivalent_diameter,centroid_x,centroid_y,major_axis_length,minor_axis_length,orientation,alpha_variant
150.0,13.81976597885342,7.053333333333334,389.38,19.955514167586536,11.461597177654106,0.5519166581835224,1
99.0,11.227230955528665,7.292929292929293,426.3636363636364,23.771641148425562,7.948460810636275,0.44439828790002656,1
127.0,12.716187407449045,11.952755905511811,350.1102362204724,26.378968813322963,9.956528426647631,0.034369568347028215,1
91.0,10.764051215546116,15.32967032967033,513.8131868131868,22.86704837489386,7.593282188151,-0.29650652165814206,1
329.0,20.466944330257718,24.379939209726444,567.4437689969604,39.61343711111334,13.845066460676456,0.03549339634502744,1
181.0,15.180789096653193,43.353591160220994,303.09944751381215,36.952323635344555,8.36014207784601,0.21896678153670682,1
404.0,22.680140565547774,61.40346534653465,536.7722772277227,63.50093964740645,9.186643159965287,-0.2215167764826296,1
285.0,19.04923279949934,64.73684210526316,413.1614035087719,60.27908216402928,8.572213327688354,-0.01356167426866193,1
164.0,14.450303987687134,62.21951219512195,433.8414634146341,27.977481372819316,12.828687760963296,-0.3157481049048099,1
90.0,10.704744696916627,61.43333333333333,690.4,25.342299755526586,5.5480786254676175,0.540427196525073,1
80.0,10.092530088080641,68.925,650.8375,18.742419031823548,7.5636782609745135,-0.10063764491267531,1
159.0,14.228319915326999,69.59119496855345,354.2830188679245,22.75018484202685,10.469871250796995,0.7730433319053682,1
143.0,13.493452297211721,85.02097902097903,574.3916083916084,29.899254768168895,8.882706772691042,-0.20534657138316206,1
123.0,12.514330345744634,82.8780487804878,187.4390243902439,17.361711394674053,11.337987396952894,0.320700806630913,1
121.0,12.412170838050638,97.61157024793388,694.396694214876,24.83448764651664,6.914038116925399,0.6994724936213356,1
260.0,18.19456736586892,112.28846153846153,233.3230769230769,39.553675866487026,9.266021340596215,0.6384491063528183,1
91.0,10.764051215546116,105.52747252747253,286.6373626373626,19.484044972373287,11.082745622869044,0.6468167491762407,1
127.0,12.716187407449045,108.80314960629921,366.6062992125984,20.066071581704346,12.090896284061014,0.7164632639050932,1
